black,female,call,educ,num_jobs,exper,comp_skill
0,1,0,College or Higher,2,6,1
0,1,0,Some College,3,6,1
1,1,0,College or Higher,1,6,1
1,1,0,Some College,4,6,1
0,1,0,Some College,3,22,1
0,0,0,College or Higher,2,6,0
0,1,0,College or Higher,2,5,1
1,1,0,Some College,4,21,1
1,1,0,College or Higher,3,3,1
1,0,0,College or Higher,2,6,0
1,1,0,College or Higher,4,8,1
0,1,0,College or Higher,4,8,1
1,1,0,College or Higher,4,4,1
0,1,0,College or Higher,2,4,1
1,1,0,College or Higher,2,5,0
0,0,0,HS Dropout,3,4,1
0,0,0,College or Higher,3,5,0
1,1,0,College or Higher,3,6,0
0,1,0,College or Higher,2,6,0
1,1,0,HS Graduate,2,8,0
1,0,0,College or Higher,3,4,1
0,0,0,College or Higher,3,3,1
0,1,0,HS Graduate,2,2,0
0,1,0,College or Higher,3,7,1
0,0,0,College or Higher,3,3,1
1,1,0,College or Higher,4,6,1
1,1,0,HS Dropout,3,4,1
0,1,0,Some College,4,6,1
1,1,0,Some College,3,7,1
1,1,0,College or Higher,3,2,1
0,1,0,HS Graduate,2,6,1
1,1,0,Some College,4,6,1
0,1,0,Some College,2,9,1
1,1,0,College or Higher,3,6,1
0,0,0,HS Graduate,2,4,0
0,1,0,Some College,3,5,1
1,1,0,College or Higher,3,4,1
1,1,0,College or Higher,3,3,0
1,1,0,Some College,3,4,1
0,1,0,College or Higher,3,5,0
0,1,0,College or Higher,2,5,1
1,0,0,College or Higher,3,5,0
0,1,0,College or Higher,4,7,1
0,1,0,College or Higher,4,6,1
1,1,0,College or Higher,4,5,1
1,1,0,Some College,2,7,1
0,0,0,Not Reported,2,4,1
1,1,0,College or Higher,3,5,0
0,1,0,College or Higher,3,4,1
1,1,0,College or Higher,3,5,1
1,1,0,College or Higher,4,6,1
0,1,0,College or Higher,3,6,1
0,1,0,College or Higher,5,13,1
1,1,0,College or Higher,2,19,1
0,0,0,HS Graduate,3,5,0
1,1,0,College or Higher,5,7,1
0,1,0,College or Higher,4,21,1
1,0,0,HS Graduate,3,5,0
0,1,0,College or Higher,4,4,1
1,1,0,College or Higher,3,5,1
1,1,0,College or Higher,4,6,1
0,1,0,Some College,3,5,1
0,1,0,Not Reported,2,5,1
0,1,0,College or Higher,2,6,0
1,1,0,College or Higher,3,6,0
1,1,0,College or Higher,4,6,1
1,1,0,College or Higher,3,6,1
0,1,0,Some College,3,4,1
1,1,0,College or Higher,4,8,1
0,1,0,College or Higher,4,5,1
0,0,0,College or Higher,2,5,0
