id,educ,peduc,kids,agem,rural
1,0,0,4,18,1
2,2,5,2,16,1
3,0,10,2,15,1
4,6,11,2,16,1
5,0,11,3,15,1
6,10,9,2,21,1
7,5,0,0,17,1
8,0,0,5,12,1
9,4,0,1,17,1
10,0,0,1,14,1
11,0,0,2,12,1
12,5,5,5,13,1
13,0,0,2,14,1
14,5,12,2,16,1
15,0,9,2,15,1
16,0,0,3,20,1
17,0,0,4,13,1
18,0,0,6,18,1
19,6,10,0,28,1
20,6,15,3,18,1
21,12,15,2,16,1
22,15,12,1,21,1
23,0,0,5,18,1
24,7,9,3,18,0
25,10,15,3,17,0
26,9,7,2,21,0
27,10,10,2,18,0
28,10,10,2,19,0
29,0,5,2,12,0
30,0,4,4,17,0
31,10,12,1,16,0
32,5,10,0,35,0
33,17,15,2,26,0
34,0,0,3,14,0
35,0,15,3,18,0
36,10,10,2,18,0
37,12,12,2,21,0
38,0,10,3,15,0
39,9,0,3,15,0
40,10,10,1,14,0
41,6,8,3,14,0
42,10,12,1,20,0
43,10,8,2,19,0
44,0,4,3,13,0
45,10,15,2,18,0
46,7,12,3,16,0
47,8,10,3,13,0
48,7,8,3,16,0
49,9,15,2,21,0
50,0,12,0,19,0
51,10,15,2,18,0
52,0,15,4,13,0
53,0,7,2,12,0
54,8,9,2,17,0
55,0,5,3,17,0
56,10,12,2,18,0
57,9,0,3,16,0
58,10,10,2,15,0
59,12,10,2,19,0
60,6,9,2,13,0
61,12,12,3,25,0
62,0,6,6,12,0
63,7,12,3,17,0
64,12,12,1,17,0
65,0,7,3,14,0
66,11,11,0,17,0
67,11,12,3,24,0
68,10,10,2,17,0
69,7,0,4,17,0
70,0,0,5,14,1
71,0,7,0,30,1
72,0,4,2,14,1
73,4,0,0,17,1
74,6,12,3,15,1
75,0,5,2,16,1
76,0,5,3,17,1
77,0,0,3,14,1
78,0,5,4,21,1
79,5,10,4,13,1
80,0,10,3,16,1
81,0,0,4,14,1
82,0,0,3,15,1
83,0,12,4,15,1
84,0,0,2,19,1
85,0,10,2,16,1
86,0,5,0,14,1
87,0,0,2,14,1
88,10,10,5,17,1
89,0,7,1,15,1
90,0,10,3,14,1
91,0,9,3,17,1
92,10,11,2,15,1
93,0,9,3,15,1
94,10,12,2,21,1
95,0,0,4,19,1
96,5,9,5,16,1
97,0,1,4,12,1
98,3,7,2,14,1
99,0,10,3,16,1
100,0,0,3,19,1
101,0,5,4,14,1
102,0,7,0,21,1
103,17,15,1,13,1
104,10,17,2,15,1
105,7,7,2,15,1
106,10,9,0,15,1
107,0,7,5,18,0
108,11,15,3,15,0
109,5,8,2,15,0
110,7,5,3,14,0
111,6,7,2,13,0
112,18,17,2,25,0
113,0,7,3,17,0
114,0,5,2,17,0
115,16,16,2,22,0
116,0,11,2,12,0
117,6,9,0,15,0
118,10,10,1,17,0
119,12,12,1,17,0
120,10,7,2,17,0
121,7,12,7,17,0
122,10,15,2,17,0
123,5,4,2,16,0
124,0,7,3,19,0
125,0,0,2,14,0
126,18,17,2,26,0
127,5,9,2,19,0
128,6,6,2,17,0
129,9,15,2,17,0
130,0,3,3,15,0
131,6,7,0,15,0
132,9,13,2,17,1
133,4,10,0,25,1
134,0,0,2,16,1
135,10,15,2,17,1
136,9,3,0,17,1
137,12,10,2,16,1
138,10,12,2,17,1
